pid,kicker,kgro,knet,ktb,kr,kry
99330,PE-0100,69,46,0,LF-0600,23
99337,PE-0100,72,51,0,LF-0600,21
99356,JH-0900,70,7,0,AM-1800,63
99401,JH-0900,44,44,0,,0
99403,PE-0100,68,30,0,,0
99412,RL-1300,61,40,0,LB-0400,21
99426,JT-4400,52,39,0,JW-0400,13
99437,RL-1300,67,42,0,LB-0400,25
99469,JT-4400,59,33,0,JW-0400,26
99478,RL-1300,59,24,0,LB-0400,35
99491,RL-1300,54,53,0,LB-0400,1
99497,JT-4400,65,40,0,TC-0900,25
99520,JT-4400,59,42,0,TC-0900,17
99550,RL-1300,60,36,0,KW-0800,24
99557,RL-1300,58,43,0,KW-0800,15
99572,RL-1300,58,45,0,KW-0800,13
99574,JE-0200,55,36,0,DB-2500,19
99585,MH-3900,57,44,0,KK-0200,13
99599,JE-0200,63,41,0,DH-0600,22
99623,MH-3900,64,35,0,KK-0200,29
99643,MH-3900,58,38,0,KK-0200,20
99656,JE-0200,53,40,0,DH-0600,13
99658,MH-3900,63,44,0,KK-0200,19
99670,JE-0200,60,14,0,DH-0600,46
99678,MH-3900,64,33,0,KK-0200,31
99689,JE-0200,60,25,0,DH-0600,35
99701,MH-3900,61,36,0,KK-0200,25
99713,MH-3900,67,40,0,KK-0200,27
99719,JE-0200,52,46,0,DH-0600,6
99751,JE-0200,58,32,0,JB-3000,26
99754,MH-3900,61,46,0,KK-0200,15
99767,OM-0100,73,53,1,,0
99783,OM-0100,70,50,1,,0
99801,MH-3100,54,34,0,TM-2800,20
99811,MH-3100,45,40,0,JW-1200,5
99826,OM-0100,55,38,0,CR-1500,17
99835,MH-3100,63,36,0,TM-2800,27
99851,MH-3100,62,16,0,TM-2800,46
99878,MH-3100,51,23,0,TM-2800,28
99929,MH-3100,55,37,0,TM-2800,18
99933,TG-1500,70,47,0,JR-2600,23
99947,JC-5000,66,28,0,ML-1700,38
99960,TG-1500,66,53,0,JW-4600,13
99970,JC-5000,68,51,0,ML-1700,17
99984,JC-5000,68,17,0,ML-1700,51
99992,TG-1500,67,47,0,JW-4600,20
100007,JC-5000,59,41,0,ML-1700,18
100024,TG-1500,66,36,0,JR-2600,30
100037,JC-5000,55,33,0,JF-1100,22
100050,TG-1500,72,52,0,JW-4600,20
100056,TG-1500,62,46,0,JW-4600,16
100063,JC-5000,50,37,0,ML-1700,13
100075,TG-1500,61,40,0,JW-4600,21
100083,TG-1500,68,52,0,JR-2600,16
100096,DB-3900,70,50,1,,0
100109,JH-0500,58,39,0,DC-1400,19
100151,JH-0500,65,43,0,ND-0300,22
100166,JH-0500,61,41,0,DC-1400,20
100184,JH-0500,67,53,0,DC-1400,14
100219,JH-0500,59,42,0,ND-0300,17
100230,DB-3900,10,10,0,,0
100243,WR-0500,68,46,0,TK-0500,22
100294,WR-0500,61,41,0,TK-0500,20
100312,SJ-0300,61,49,0,RJ-0700,12
100324,WR-0500,67,38,0,TK-0500,29
100334,SJ-0300,68,29,0,RC-0100,39
100350,SJ-0300,58,45,0,RJ-0700,13
100372,WR-0500,79,59,1,,0
100393,SJ-0300,67,45,0,RJ-0700,22
100401,SJ-0300,75,55,1,,0
100411,MG-1200,68,58,0,BM-3300,10
100424,DA-0300,61,38,0,DS-3100,23
100438,MG-1200,69,22,0,BM-3300,47
100488,DA-0300,72,55,0,AS-3400,17
100500,DA-0300,70,51,0,AS-3400,19
100519,DA-0300,76,56,1,,0
100529,MG-1200,60,34,0,BM-3300,26
100552,DA-0300,65,26,0,AS-3400,39
100574,RL-0900,61,44,0,TW-2100,17
100597,JW-3300,68,68,0,,0
100630,JW-3300,70,49,0,MM-5300,21
100633,RL-0900,67,48,0,TW-2100,19
100657,JW-3300,67,-30,0,MM-5300,97
100659,RL-0900,48,30,0,,0
100663,JW-3300,67,36,0,MM-5300,31
100685,JW-3300,69,51,0,MM-5300,18
100693,JW-3300,62,6,0,MM-5300,56
100707,JW-3300,69,51,0,MM-5300,18
100720,JW-3300,71,42,0,MM-5300,29
100729,RL-0900,15,15,0,,0
100743,TP-1200,57,48,0,TW-0400,9
100756,TP-1200,55,41,0,RW-2700,14
100778,TP-1200,57,40,0,TW-0400,17
100798,TP-1200,56,45,0,TW-0400,11
100810,MV-0100,57,41,0,LM-0600,16
100822,MV-0100,57,50,0,AR-0200,7
100833,MV-0100,56,40,0,LM-0600,16
100850,TP-1200,57,57,0,,0
