pid,punter,pgro,pnet,ptb,pr,pry,pfc
580000,DJ-2800,39,39,0,DH-1800,0,1
580004,CJ-2100,35,35,0,DJ-0950,0,1
580008,DJ-2800,46,46,0,DH-1800,0,1
580051,CJ-2100,32,32,0,,0,0
580062,CJ-2100,50,45,0,DJ-0950,5,0
580081,JH-3230,44,45,0,TG-0900,-1,0
580085,BN-0700,45,45,0,TA-1050,0,0
580142,JH-3230,52,52,0,,0,0
580182,JH-3230,36,36,0,,0,0
580203,BN-0700,53,33,0,TA-1050,20,0
580210,JH-3230,27,27,0,,0,0
580217,BN-0700,56,50,0,TA-1050,6,0
580238,AP-1800,65,65,0,,0,0
580243,SR-0800,36,29,0,DH-2700,7,0
580276,AP-1800,38,38,0,,0,0
580280,SR-0800,33,33,0,EW-0500,0,1
580284,AP-1800,44,44,0,JM-6300,0,1
580290,SR-0800,53,-28,0,DH-2700,81,0
580325,SR-0800,47,47,0,,0,0
580371,SR-0800,49,45,0,DH-2700,4,0
580404,BK-0700,36,36,0,KW-1800,0,1
580427,BK-0700,54,34,0,KW-1800,20,0
580431,AL-0500,56,57,0,DR-1200,-1,0
580438,BK-0700,46,46,0,KW-1800,0,1
580486,BK-0700,36,36,0,,0,0
580490,AL-0500,38,38,0,DR-1200,0,1
580494,BK-0700,55,41,0,KW-1800,14,0
580500,AL-0500,58,38,1,,0,0
580518,AL-0500,36,36,0,,0,0
580522,BK-0700,36,36,0,KW-1800,0,1
580526,AL-0500,37,37,0,DR-1200,0,1
580536,AL-0500,55,55,0,DR-1200,0,0
580563,ZM-0100,36,24,0,TD-1800,12,0
580567,SK-0600,43,25,0,AB-3500,18,0
580613,SK-0600,40,40,0,AB-3500,0,1
580642,SK-0600,43,23,1,,0,0
580711,SL-0150,37,19,0,MH-4000,18,0
580748,SL-0150,56,36,1,,0,0
580757,TM-0800,35,35,0,DB-1800,0,0
580802,SL-0150,40,40,0,MH-4000,0,1
580807,TM-0800,32,32,0,TB-1060,0,1
580826,TM-0800,23,23,0,,0,0
580885,PM-0300,32,32,0,,0,0
580890,BC-2000,51,51,0,,0,0
580896,PM-0300,45,33,0,TH-1900,12,0
580915,BC-2000,50,39,0,TH-1850,11,0
580920,PM-0300,54,47,0,TH-1900,7,0
580939,PM-0300,60,43,0,TH-1900,17,0
580956,BC-2000,37,37,0,TH-1850,0,1
580960,PM-0300,47,47,0,,0,0
580968,BC-2000,39,30,0,TH-1850,9,0
580983,BC-2000,51,51,0,TH-1850,0,1
580987,PM-0300,48,48,0,TH-1900,0,1
580991,BC-2000,50,50,0,TH-1850,0,1
580999,PM-0300,52,52,0,TH-1900,0,0
581003,BC-2000,53,38,0,TH-1850,15,0
581053,PM-0300,51,51,0,TH-1900,0,1
581075,PM-0300,50,50,0,,0,0
581110,JL-2250,52,39,0,RR-0130,13,0
581115,SW-0500,51,-35,0,MS-1300,86,0
581121,SW-0500,42,42,0,MS-1300,0,1
581125,JL-2250,38,38,0,,0,0
581147,SW-0500,56,36,1,,0,0
581151,JL-2250,41,40,0,RR-0130,1,0
581156,SW-0500,34,34,0,,0,0
581162,JL-2250,51,51,0,,0,0
581166,SW-0500,56,56,0,MS-1300,0,1
581174,JL-2250,56,45,0,RR-0130,11,0
581180,SW-0500,55,42,0,MS-1300,13,0
581184,JL-2250,39,39,0,,0,0
581188,SW-0500,57,54,0,MS-1300,3,0
581199,JL-2250,35,15,1,,0,0
581238,SW-0500,53,33,0,MS-1300,20,0
581253,SW-0500,34,34,0,,0,0
581266,MK-1200,44,44,0,TG-0900,0,1
581307,MK-1200,51,49,0,TG-0900,2,0
581311,BN-0700,42,42,0,EP-0050,0,0
581330,BN-0700,31,31,0,EP-0050,0,1
581341,BN-0700,59,53,0,EP-0050,6,0
581345,MK-1200,40,35,0,TG-0900,5,0
