pid,psr,ints,iry
28667,TD-1400,MM-4600,3
29057,PM-0200,BM-0200,25
29120,MB-4500,SR-1100,-6
29173,MB-4500,SR-1100,5
29321,VT-0200,MW-1100,21
29396,CC-1400,EA-0400,15
29628,RL-0300,MP-0600,24
29648,RL-0300,JH-2600,5
29652,WM-0900,JS-1500,2
29826,JK-1500,EB-1700,9
29835,GF-0400,SS-2600,8
29860,GF-0400,WW-0700,0
29862,JK-1500,JS-5300,21
29902,AB-2900,LF-0300,6
30032,AB-2900,LF-0300,11
30066,TG-1600,CO-0800,0
30319,DM-2200,CB-0100,0
30577,DB-4500,RS-2900,4
30651,SB-0700,TW-2900,46
30673,BF-0100,JH-4400,28
30723,BF-0100,ED-0100,8
30753,BF-0100,HN-0200,0
30800,SC-0200,KW-2400,14
30855,DC-4400,CB-4100,0
30866,DC-4400,AA-0500,4
30927,DJ-1800,GK-0100,27
31006,DJ-1800,CK-0500,14
31085,RJ-1200,PS-1000,0
31122,RJ-1200,SM-0200,20
31195,DF-1300,BW-0300,29
31250,SB-0700,LF-0300,4
31255,KW-0500,JH-4400,0
31268,SB-0700,TL-1300,21
31315,KW-0500,JH-4400,88
31321,KW-0500,ED-0100,3
31339,KW-0500,DE-1200,0
31428,SM-2700,AW-1300,7
31518,JP-3200,TC-0800,10
31850,AB-2900,JS-5300,2
31859,AB-2900,EB-1700,0
31951,PM-0200,VG-0200,43
32009,VT-0200,DM-0100,35
32037,PM-0200,NF-0200,20
32261,KG-0800,EA-0400,27
32528,RL-0300,MM-4400,17
32537,RL-0300,ZB-0300,9
32549,RL-0300,MM-4400,46
32552,RL-0300,ZB-0300,43
32586,TA-0300,BK-0600,9
32787,KC-2000,DS-0400,6
32790,BJ-1400,SG-0300,4
32819,BJ-1400,EM-0900,17
32976,SM-0900,TW-2900,38
33011,SM-0900,DS-1600,4
33146,EG-0600,OS-0800,56
33244,TD-1400,RH-1100,0
33277,RL-0300,CM-1200,9
33279,TD-1400,RH-1100,19
33619,KJ-0600,BD-0700,32
33627,DP-0800,TV-0200,0
33687,DP-0800,BT-0500,1
33762,JG-1000,RM-3300,0
33855,GF-0400,JB-2900,16
33872,JK-1500,AW-1600,20
33897,JK-1500,JS-5300,79
33992,JK-1500,BJ-1000,0
34051,CB-0900,TM-1100,43
34079,BF-0100,DW-0300,5
34109,CB-0900,DS-1600,0
34126,CB-0900,AE-0400,0
34187,DB-4500,BB-2500,12
34324,EG-0600,DE-1200,17
34333,EG-0600,ER-0400,0
34420,SB-0700,JW-6300,0
34503,SK-0400,BW-0300,0
34504,JF-1400,JD-3100,31
34537,JF-1400,SQ-0100,5
34591,JF-1400,DA-0100,0
34615,JF-1400,DR-2100,0
34740,KS-2300,RS-2900,0
34791,JG-0600,DP-1200,0
34930,JG-0600,DP-1200,3
35306,VT-0200,WT-0100,3
35311,VT-0200,EA-0400,50
35369,RG-0200,AG-0800,34
35375,RL-1400,WT-0100,3
35404,RL-1400,EA-0400,16
35527,RJ-1200,JB-7900,0
35565,RJ-1200,MM-5600,40
35651,JG-1000,DW-1400,0
35668,JG-1000,CS-1100,0
35762,RG-0200,MB-1400,30
35864,JK-1500,CW-3700,0
35873,RG-0200,IK-0100,0
35920,RG-0200,WW-0700,5
35987,JP-3200,DS-4000,30
35990,TD-1400,PT-0500,3
36027,JP-3200,JS-1900,45
36334,JL-1500,GD-0300,36
36409,RL-0300,LW-1500,0
36559,SM-2700,ML-2300,14
36720,SM-2400,CF-1500,0
37060,JF-1400,JB-7900,0
37199,DC-4400,DS-1600,47
37269,DJ-1800,SK-0500,31
37323,CC-1400,AM-2400,0
37399,CB-0900,VG-0200,27
37502,VT-0200,SB-1000,0
37668,CM-2200,MM-4400,5
37771,KC-2000,PS-0700,0
37821,AW-2100,EM-0900,4
37846,KW-0500,RB-0700,9
37856,SK-0400,DM-1000,0
37933,KW-0500,DR-2100,0
37971,SK-0400,DM-1000,0
38002,KW-0500,JL-3400,2
38169,JG-0600,TB-3700,0
38266,KC-2000,TB-2200,7
38317,MB-4500,RP-1000,12
38500,JK-1500,EF-0100,0
38667,TD-1400,MC-2100,-1
38699,TD-1400,AG-0800,0
38711,VT-0200,DS-4000,21
38721,VT-0200,DS-4000,64
38746,VT-0200,CM-1200,98
38974,SC-0200,RM-3400,61
39153,BF-0100,JL-3400,5
39174,BF-0100,JD-3100,15
39255,PM-0200,RT-0200,12
39338,BB-2800,MP-1000,3
39406,DB-2600,JT-0900,2
39501,DB-2600,ZT-0100,0
39523,AB-2900,DB-2800,0
39561,KW-0500,DS-2600,41
39768,SB-0700,EA-0400,37
39893,DM-2200,CH-0500,12
39975,SM-2700,CE-0500,0
40015,KS-2300,RH-1100,63
40107,RL-0300,NC-0400,14
40110,KS-2300,RH-1100,15
40223,JP-3200,MC-0500,30
40229,BJ-1400,AW-1300,48
40242,BJ-1400,AW-1300,8
40246,JP-3200,DG-2500,2
40279,JP-3200,CB-0100,0
40349,SM-2400,RM-3300,4
40371,AW-2100,DW-0600,0
40383,SM-2400,BW-2800,0
40426,AW-2100,KB-2400,8
40512,JF-1400,CC-4500,0
40520,JF-1400,CB-2800,4
40531,JF-1400,CC-4500,23
40696,AB-2900,DB-6000,6
40709,KW-0500,SK-0500,52
40729,KW-0500,CO-0800,8
40784,KW-0500,SK-0500,4
40820,GF-0400,RL-0600,4
41084,DM-2200,DA-0100,0
41245,AB-2900,RT-0200,1
41266,AB-2900,KW-2400,1
41295,JF-1400,TJ-0800,90
41418,JF-1400,TJ-0800,8
41443,JF-1400,EA-0400,0
41518,DM-2200,JS-1700,32
41742,SM-2400,RL-0600,50
41791,KC-2000,RT-0200,4
41795,DC-4400,EM-0900,0
41801,KC-2000,DM-3700,1
41872,DC-4400,SG-0300,13
41903,DC-4400,JS-1700,0
41947,RG-0200,RB-0200,0
41975,BH-2000,DS-4000,9
42005,TD-1400,JH-2000,2
42039,RG-0200,DS-4000,35
42072,BH-2000,JS-1900,15
42144,KC-2000,JS-1900,4
42172,KC-2000,CM-1200,4
42186,KC-2000,KH-1700,2
42201,KC-2000,DS-4000,49
42390,SM-0900,RL-0600,21
42403,SM-0900,JT-3200,15
42424,RJ-1200,SK-0500,21
42495,RJ-1200,SK-0500,19
42505,RJ-1200,SK-0500,0
42726,MH-1600,EL-0400,9
42818,TC-2600,RT-1200,5
42844,MH-1600,DM-1500,0
42896,QC-0100,DJ-0300,15
42899,BJ-1400,DW-4600,0
43003,QC-0100,JL-3400,4
43087,CB-0900,DS-1600,11
43149,CB-0900,DS-1600,59
43234,KS-2300,HN-0400,2
43306,KS-2300,DD-0100,39
43314,RG-0200,EW-0300,51
43485,TG-1600,CW-3700,34
43534,DC-4400,RA-1000,0
43560,DC-4400,JH-4400,0
43582,CW-1300,TS-0600,2
43609,DC-4400,DG-2400,0
43702,PM-0200,MJ-2200,18
43741,PM-0200,MC-2100,36
43867,DM-2200,DB-2800,1
43915,KW-0500,TV-0200,0
43958,KW-0500,DM-2900,0
44009,JG-1000,RM-3300,12
44035,JG-1000,AM-2400,0
