pid,blk,brcv
428005,CL-1900,
430845,RA-1600,
431736,GH-0300,
432717,AW-1500,GT-0300
435331,RJ-0800,RM-3100
435555,BP-0900,SC-0900
437543,DC-4700,KW-1200
437603,PD-0100,
438292,YB-0100,
438331,ES-1100,EW-0100
438475,JP-2000,
438555,DZ-0200,TM-1000
438928,SF-0800,
440680,PC-0300,BS-3200
440721,PC-0300,KA-1000
441152,TW-0600,
442423,RC-0800,
442434,BM-3800,HE-0200
443282,CT-0600,
443611,JH-0300,
445216,BB-0600,
448993,NS-0300,
449305,KR-0500,
450235,II-0100,
451825,JR-0300,MS-3500
451970,WG-0500,RM-1600
453667,BC-1700,
456878,TT-1000,CW-1200
458917,CT-0600,DC-3200
458928,KC-2400,ET-0200
459660,DR-2800,
460446,JF-2500,
460660,SR-1000,
461881,TS-2000,TS-2700
468816,CT-0600,
476169,BO-0400,LF-0300
476672,JM-3600,IT-0200
477585,CC-0200,
477756,TB-2400,
479063,JW-1100,
482233,GS-0900,KB-2100
482613,JP-2000,NR-0300
483434,KD-1600,CA-0900
483754,DM-0200,JJ-5000
485026,PR-0400,
485971,TS-1400,CF-0500
487632,NC-0200,
488242,AC-0500,
489495,RB-4300,KW-2500
489603,RB-4300,
491499,RQ-0200,
492163,PB-0100,JM-2800
492679,SJ-0500,
494650,AS-3100,
495409,CC-0200,
497367,AH-2300,
499315,CC-2500,LH-1500
499826,LG-0900,
500233,CC-0200,
500276,PP-0400,
502379,JA-1500,DC-0100
502517,RB-4300,
502599,RB-4300,
504491,CH-3100,RC-1300
505868,PR-0400,
507288,JW-5100,NA-0100
507574,DB-5200,
508004,II-0100,
508323,AC-0500,
508625,JP-2900,
508641,DB-0500,MR-1500
508904,KO-0800,ZP-0300
510592,NS-0800,
513162,RS-0900,MG-0800
513239,RS-0900,AB-1100
513697,HF-0100,CJ-2300
514112,DL-0200,
515932,JP-2000,
516479,PP-0400,
517915,BJ-2100,
519625,MW-3300,CR-1200
520341,AT-0100,AC-1500
520383,CC-0200,
521147,DR-3200,CL-1900
522657,QG-0400,
522854,MM-5700,ES-0800
522916,MS-2400,JJ-3200
525535,LG-0900,
527482,LG-0700,
531515,TS-1400,JM-2800
531935,SD-0800,EJ-1000
533007,AC-0500,
533271,TB-2800,
533689,BB-2600,DP-1950
535910,LJ-0200,
536673,CM-0800,
536716,JW-5100,OV-0200
536771,OV-0200,
537075,DH-4000,DM-4030
537586,MG-1800,JB-0300
539285,DH-0700,
539363,AC-0500,
539484,SM-2300,CW-3800
539702,OV-0200,
539829,LH-1900,
540074,KW-1400,
540991,DW-1700,AH-2400
543175,NI-0100,LB-0100
544370,JJ-1550,QM-0200
545941,JP-2000,
545977,KW-1400,
547693,MJ-0600,MJ-0600
550173,DB-5200,
553382,DH-2550,DH-2550
