Yfog,ENP Normal (Average),ENP V_k,ENP V_k Recursive,Prob O Scores TD/FG,Prob D Scores TD/FG,1 - P(O) - P(D),"ENP_O | O, yrdline = x","ENP_O | D, yrdline = x","ENP_O | No TD/FG, yrdline = x",# Obs ENP Normal (Average),"# Obs (ENP_O | O, yrdline = x)","# Obs (ENP_O | D, yrdline = x)","# Obs (ENP_O | No TD/FG, yrdline = x)"
15,0.45772151898734176,-0.37135660513365476,-0.37837795282519093,0.4,0.38329113924050634,0.21670886075949364,5.525316455696203,-5.483487450462351,0,1975,790,757,428
16,0.2692501258178158,-0.22989541861601115,-0.23700970087746143,0.41771514846502267,0.3759436336185204,0.20634121791645693,5.474698795180723,-5.401606425702811,0,1987,830,747,410
17,0.5901386748844376,0.09969041789946803,0.09246680844383875,0.4504365690806369,0.3554185927067283,0.19414483821263478,5.525655644241733,-5.336705202312139,0.005291005291005291,1947,877,692,378
18,0.38586703858670385,-0.025728166143866155,-0.032950131787581285,0.44397954439795445,0.36169223616922364,0.19432821943282197,5.4219895287958115,-5.359897172236503,-0.004784688995215311,2151,955,778,418
19,0.3691077441077441,-0.015447388818217587,-0.02270226681913232,0.44696969696969696,0.36237373737373735,0.19065656565656564,5.505649717514125,-5.463414634146342,-0.004415011037527594,2376,1062,861,453
20,0.32958313595452393,-0.07271517149984615,-0.08000922575939891,0.4436878256750355,0.3700260540028423,0.18628612032212222,5.448151608167623,-5.383101296207393,0.0012714558169103624,16888,7493,6249,3146
21,0.057052852642632136,-0.24107006234554218,-0.2483742176927084,0.43157157857892897,0.3832691634581729,0.18515925796289817,5.448499594484996,-5.458447488584475,-0.007561436672967864,2857,1233,1095,529
22,0.8223126483553747,0.027342236836328426,0.019965024742797276,0.4560868090878264,0.3669040352661919,0.1770091556459817,5.499628252788104,-5.393715341959335,0.011494252873563218,2949,1345,1082,522
23,0.5862652232746955,0.06311266355157254,0.055589169181913166,0.4736129905277402,0.36569688768606223,0.16069012178619757,5.457142857142857,-5.493061979648473,0.008421052631578947,2956,1400,1081,475
24,0.29450139794967384,-0.044320380164995746,-0.05159398096252489,0.44920782851817337,0.36222429325877603,0.18856787822305066,5.460580912863071,-5.518867924528302,-0.006589785831960461,3219,1446,1166,607
25,0.7358598362216721,0.32591659750811214,0.31858125155371714,0.4880975052370977,0.3302228147019615,0.18167968006094076,5.361295357003511,-5.4232987312572085,0.006289308176100629,5251,2563,1734,954
26,0.8567293777134588,0.39063972052572427,0.38330514436555474,0.48914616497829233,0.32908827785817657,0.1817655571635311,5.48698224852071,-5.44415127528584,-0.0031847133757961785,3455,1690,1137,628
27,0.6289156626506024,0.277205910708485,0.27002128651179325,0.469578313253012,0.33192771084337347,0.1984939759036145,5.490057729313663,-5.452813067150635,0,3320,1559,1102,659
28,0.8539224526600541,0.3293435112086123,0.32208778613900574,0.4824165915238954,0.32702134054703935,0.19056206792906527,5.438006230529595,-5.497242647058823,-0.0031545741324921135,3327,1605,1088,634
29,0.974616292798111,0.4866385647545048,0.47930181453594106,0.49763872491145217,0.32083825265643445,0.18152302243211332,5.450771055753262,-5.377184912603496,0.0032520325203252032,3388,1686,1087,615
30,0.6979458450046685,0.466178159998351,0.4588568002695341,0.4981325863678805,0.31862745098039214,0.18323996265172737,5.447047797563261,-5.485714285714286,0.005095541401273885,4284,2134,1365,785
31,1.1213909378292939,0.5898852095408693,0.5826517440259822,0.5013698630136987,0.3055848261327713,0.19304531085353,5.452711223203027,-5.402758620689655,0.006550218340611353,4745,2379,1450,916
32,1.0832941176470587,0.7695608885228632,0.7621345565234333,0.528,0.3004705882352941,0.17152941176470587,5.4893048128342246,-5.400939702427564,0.00823045267489712,4250,2244,1277,729
